year,rgdppc,meanhappy
1975,22075.38,2.19798
1976,23055.56,2.215477
1977,23896.55,2.229208
1978,24999.11,2.247858
1979,25538.14,
1980,25220.93,2.205882
1981,25615.52,
1982,24869.67,2.160647
1983,25745.56,2.183725
1984,27333.99,2.217993
1985,28183.51,2.172549
1986,28864.97,2.20911
1987,29485.49,2.156742
1988,30390.34,2.24693
1989,31163.08,2.229358
1990,31430.6,2.244673
1991,31046.02,2.200798
1992,31796.23,
1993,32392.62,2.204872
1994,33384.2,2.165603
1995,33868.18,
1996,34749.89,2.183016
1997,35882.78,
